LETO;NAMEN UPORABE INTERNETA;16–24;25–34;35–44;45–54;55–64;65–74
2010;..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;117663;177845;150525;117523;61751;11118
2010;...Uporaba spletnih strani e-uprave za pridobivanje informacij;117663;177845;150525;117523;61751;11118
2010;…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;50700;126307;101625;73137;34277;6650
2010;…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;8796;47915;40569;19164;17216;721
2011;Posamezniki;197732;296102;295110;303872;270145;178223
2011;Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];195017;276084;240963;197077;101050;27643
2011;..Pošiljanje ali prejemanje e-pošte;189610;251221;208271;157703;83243;19939
2011;..E-banèništvo;49444;144399;136997;96342;43688;6483
2011;..Iskanje informacij o blagu, storitvah;140924;232372;200281;153274;78457;19481
2011;…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;-;-;-;-;-;-
2011;…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;-;-;-;-;-;-
2011;..Uporaba storitev, povezanih s potovanji in nastanitvijo;103516;171677;116675;97577;46528;10552
2011;..Branje spletni novic, spletnih èasopisov, spletnih revij;147927;224018;170498;154499;74336;20767
2011;...Naroèilo na spletne èasopisove, revije;12918;36737;28492;17762;7107;3246
2011;..Iskanje službe, pošiljanje prošenj za službo;53848;94095;36140;24866;3105;-
2011;..Iskanje informacij, povezanih z zdravjem;123036;204026;171936;138343;70680;17326
2011;..E-naroèanje obiska pri zdravniku;-;-;-;-;-;-
2011;..Sodelovanje v spletnih družabnih omrežjih;156222;174808;90670;52918;12042;5968
2011;..Sodelovanje v profesionalnih spletnih omrežjih;8553;15531;9434;5468;1693;1432
2011;..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;-;-;-;-;-;-
2011;..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;59510;79869;49467;30497;28670;8962
2011;...Telefoniranje prek interneta;-;-;-;-;-;-
2011;…Video telefoniranje s spletno kamero prek interneta;-;-;-;-;-;-
2011;..Telefoniranje prek interneta, videokonferenca;-;-;-;-;-;-
2011;..Branje in objavljanje mnenj o politiènih temah;29874;68529;47663;43608;20491;7859
2011;..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;9125;31519;20635;10737;5071;4739
2011;..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;-;-;-;-;-;-
2011;..Prodaja blaga, storitev;84576;151879;101318;78443;31867;10553
2011;..Prenašanje programske opreme;118311;121471;74503;34339;16291;4550
2011;..Nalaganje lastnih vsebin na spletne strani;-;-;-;-;-;-
2011;..Pridobivanje znanja s pomoèjo spletnih enciklopedij;142407;150576;118226;74384;32916;11063
2011;…Objavljanje lastnih prispevkov v spletnih enciklopedijah;6806;10529;9447;1715;779;2116
2011;..Nalaganje vsebin na spletno stran;-;-;-;-;-;-
2011;..Pridobivanje informacij o izobraževanju;133526;149172;112364;71610;28496;7717
2011;..Opravljanje teèaja prek interneta;20341;24126;17350;11715;5133;814
2011;..Pridobivanje novih znanj, informacij;-;-;-;-;-;-
2011;..Uporaba interneta za izobraževanje in teèaje;-;-;-;-;-;-
2011;..Udeležba kakršnega koli teèaja;-;-;-;-;-;-
2011;…Izvajanje raziskovanj prek interneta v sklopu teèaja;-;-;-;-;-;-
2011;…Izmenjava sporoèil prek interneta v povezavi s teèajem;-;-;-;-;-;-
2011;…Prenos uènega gradiva za teèaj prek interneta;-;-;-;-;-;-
2011;…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;-;-;-;-;-;-
2011;..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;-;-;-;-;-;-
2011;..Poslušanje spletnih radijskih postaj;-;-;-;-;-;-
2011;..Gledanje spletne TV;-;-;-;-;-;-
2011;..Iskanje drugih informacij;-;-;-;-;-;-
2011;..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;-;-;-;-;-;-
2011;…Igranje spletnih iger z drugimi osebami;-;-;-;-;-;-
2011;..Izdelava spletnih strani ali blogov;-;-;-;-;-;-
2011;..Uporaba e-pošte za delitev datotek;-;-;-;-;-;-
2011;..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;-;-;-;-;-;-
2011;..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;-;-;-;-;-;-
2011;..Uporaba zunanjih naprav za delitev datotek;-;-;-;-;-;-
2011;..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;-;-;-;-;-;-
2011;..Pošiljanje sporoèil v spletne klepetalnice;-;-;-;-;-;-
2011;..Pošiljanje sporoèil v novièarske skupine;-;-;-;-;-;-
2011;..Pošiljanje sporoèil v spletne forume;72542;91979;60661;37577;14143;3433
2011;..Branje spletnih forumov;148496;202576;159852;114103;56551;17196
2011;..Neposredno sporoèanje;-;-;-;-;-;-
2011;..Branje blogov;-;-;-;-;-;-
2011;..Pošiljanje komentarjev na druge bloge;-;-;-;-;-;-
2011;..Ustvarjanje in urejanje lastnega bloga;-;-;-;-;-;-
2011;..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;-;-;-;-;-;-
2011;...Uporaba spletnih strani e-uprave za pridobivanje informacij;-;-;-;-;-;-
2011;…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;-;-;-;-;-;-
2011;…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;-;-;-;-;-;-
2012;Posamezniki;203345;297533;299719;308802;281218;179798
2012;Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];197263;277182;253716;198915;114881;31422
2012;..Pošiljanje ali prejemanje e-pošte;185277;248372;198996;158914;85452;24337
2012;..E-banèništvo;41744;129548;123072;93895;44113;8572
2012;..Iskanje informacij o blagu, storitvah;162686;246772;218188;170369;95285;25657
2012;…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;-;-;-;-;-;-
2012;…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;-;-;-;-;-;-
2012;..Uporaba storitev, povezanih s potovanji in nastanitvijo;90251;146468;117369;87110;37051;12040
2012;..Branje spletni novic, spletnih èasopisov, spletnih revij;145888;195099;164008;145166;71720;22441
2012;...Naroèilo na spletne èasopisove, revije;-;-;-;-;-;-
2012;..Iskanje službe, pošiljanje prošenj za službo;-;-;-;-;-;-
2012;..Iskanje informacij, povezanih z zdravjem;135622;218275;195290;154419;83025;19912
2012;..E-naroèanje obiska pri zdravniku;6231;11997;11598;16846;3909;1887
2012;..Sodelovanje v spletnih družabnih omrežjih;173598;208551;97402;54951;20219;6864
2012;..Sodelovanje v profesionalnih spletnih omrežjih;-;-;-;-;-;-
2012;..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;-;-;-;-;-;-
2012;..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;84713;80143;67963;49014;20491;6565
2012;...Telefoniranje prek interneta;-;-;-;-;-;-
2012;…Video telefoniranje s spletno kamero prek interneta;-;-;-;-;-;-
2012;..Telefoniranje prek interneta, videokonferenca;-;-;-;-;-;-
2012;..Branje in objavljanje mnenj o politiènih temah;-;-;-;-;-;-
2012;..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;-;-;-;-;-;-
2012;..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;-;-;-;-;-;-
2012;..Prodaja blaga, storitev;82989;142815;131277;69103;33326;9881
2012;..Prenašanje programske opreme;-;-;-;-;-;-
2012;..Nalaganje lastnih vsebin na spletne strani;103685;109110;73836;45448;18109;7298
2012;..Pridobivanje znanja s pomoèjo spletnih enciklopedij;165686;175731;155191;100364;58214;17851
2012;…Objavljanje lastnih prispevkov v spletnih enciklopedijah;16435;9488;6028;9533;2929;648
2012;..Nalaganje vsebin na spletno stran;-;-;-;-;-;-
2012;..Pridobivanje informacij o izobraževanju;-;-;-;-;-;-
2012;..Opravljanje teèaja prek interneta;-;-;-;-;-;-
2012;..Pridobivanje novih znanj, informacij;-;-;-;-;-;-
2012;..Uporaba interneta za izobraževanje in teèaje;-;-;-;-;-;-
2012;..Udeležba kakršnega koli teèaja;-;-;-;-;-;-
2012;…Izvajanje raziskovanj prek interneta v sklopu teèaja;-;-;-;-;-;-
2012;…Izmenjava sporoèil prek interneta v povezavi s teèajem;-;-;-;-;-;-
2012;…Prenos uènega gradiva za teèaj prek interneta;-;-;-;-;-;-
2012;…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;-;-;-;-;-;-
2012;..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;142631;185707;148414;99799;41059;11115
2012;..Poslušanje spletnih radijskih postaj;113665;148332;103510;69377;29648;3170
2012;..Gledanje spletne TV;91414;114482;100443;71439;30783;9909
2012;..Iskanje drugih informacij;-;-;-;-;-;-
2012;..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;157707;180443;108660;50175;30511;11796
2012;…Igranje spletnih iger z drugimi osebami;65457;46181;27020;12338;5846;720
2012;..Izdelava spletnih strani ali blogov;31066;17799;12032;9254;1346;1268
2012;..Uporaba e-pošte za delitev datotek;-;-;-;-;-;-
2012;..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;-;-;-;-;-;-
2012;..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;-;-;-;-;-;-
2012;..Uporaba zunanjih naprav za delitev datotek;-;-;-;-;-;-
2012;..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;-;-;-;-;-;-
2012;..Pošiljanje sporoèil v spletne klepetalnice;35959;38454;20957;13012;6473;-
2012;..Pošiljanje sporoèil v novièarske skupine;15302;11877;13553;7702;1838;-
2012;..Pošiljanje sporoèil v spletne forume;77511;92992;57458;42173;20516;1849
2012;..Branje spletnih forumov;156094;216666;160980;115026;63555;17586
2012;..Neposredno sporoèanje;100503;116718;86597;41190;18009;2940
2012;..Branje blogov;-;-;-;-;-;-
2012;..Pošiljanje komentarjev na druge bloge;57222;65722;28224;24788;8068;1268
2012;..Ustvarjanje in urejanje lastnega bloga;-;-;-;-;-;-
2012;..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;-;-;-;-;-;-
2012;...Uporaba spletnih strani e-uprave za pridobivanje informacij;-;-;-;-;-;-
2012;…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;-;-;-;-;-;-
2012;…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;-;-;-;-;-;-
2013;Posamezniki;196579;293744;299580;307714;285510;183364
2013;Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];192701;284598;260910;211022;144473;44753
2013;..Pošiljanje ali prejemanje e-pošte;188381;268548;226676;159607;109113;30240
2013;..E-banèništvo;53598;142367;138402;100764;56705;14369
2013;..Iskanje informacij o blagu, storitvah;147233;230151;208114;147455;97323;27528
2013;…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;-;-;-;-;-;-
2013;…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;-;-;-;-;-;-
2013;..Uporaba storitev, povezanih s potovanji in nastanitvijo;90003;150623;124196;88307;58206;17059
2013;..Branje spletni novic, spletnih èasopisov, spletnih revij;162695;232405;202448;163995;104758;32461
2013;...Naroèilo na spletne èasopisove, revije;16572;17693;18600;11952;10391;3518
2013;..Iskanje službe, pošiljanje prošenj za službo;56885;102251;54535;23708;10278;-
2013;..Iskanje informacij, povezanih z zdravjem;125098;211861;188867;136133;93441;28912
2013;..E-naroèanje obiska pri zdravniku;-;-;-;-;-;-
2013;..Sodelovanje v spletnih družabnih omrežjih;168292;208984;124613;57312;30124;10357
2013;..Sodelovanje v profesionalnih spletnih omrežjih;8453;31031;18070;5794;5074;493
2013;..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;-;-;-;-;-;-
2013;..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;91730;114623;79807;54041;49659;10514
2013;...Telefoniranje prek interneta;-;-;-;-;-;-
2013;…Video telefoniranje s spletno kamero prek interneta;-;-;-;-;-;-
2013;..Telefoniranje prek interneta, videokonferenca;-;-;-;-;-;-
2013;..Branje in objavljanje mnenj o politiènih temah;31232;40803;33620;12349;10416;1935
2013;..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;20081;38819;28048;17241;12580;2358
2013;..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;-;-;-;-;-;-
2013;..Prodaja blaga, storitev;111955;158492;135340;81336;52162;9814
2013;..Prenašanje programske opreme;106626;102749;69274;22883;14036;573
2013;..Nalaganje lastnih vsebin na spletne strani;-;-;-;-;-;-
2013;..Pridobivanje znanja s pomoèjo spletnih enciklopedij;153547;167531;151136;84885;53039;16364
2013;…Objavljanje lastnih prispevkov v spletnih enciklopedijah;-;-;-;-;-;-
2013;..Nalaganje vsebin na spletno stran;-;-;-;-;-;-
2013;..Pridobivanje informacij o izobraževanju;129397;146917;109399;60020;40726;10181
2013;..Opravljanje teèaja prek interneta;17643;17182;12610;5863;5168;933
2013;..Pridobivanje novih znanj, informacij;-;-;-;-;-;-
2013;..Uporaba interneta za izobraževanje in teèaje;-;-;-;-;-;-
2013;..Udeležba kakršnega koli teèaja;-;-;-;-;-;-
2013;…Izvajanje raziskovanj prek interneta v sklopu teèaja;-;-;-;-;-;-
2013;…Izmenjava sporoèil prek interneta v povezavi s teèajem;-;-;-;-;-;-
2013;…Prenos uènega gradiva za teèaj prek interneta;-;-;-;-;-;-
2013;…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;-;-;-;-;-;-
2013;..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;-;-;-;-;-;-
2013;..Poslušanje spletnih radijskih postaj;-;-;-;-;-;-
2013;..Gledanje spletne TV;-;-;-;-;-;-
2013;..Iskanje drugih informacij;-;-;-;-;-;-
2013;..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;-;-;-;-;-;-
2013;…Igranje spletnih iger z drugimi osebami;-;-;-;-;-;-
2013;..Izdelava spletnih strani ali blogov;-;-;-;-;-;-
2013;..Uporaba e-pošte za delitev datotek;-;-;-;-;-;-
2013;..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;-;-;-;-;-;-
2013;..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;-;-;-;-;-;-
2013;..Uporaba zunanjih naprav za delitev datotek;-;-;-;-;-;-
2013;..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;-;-;-;-;-;-
2013;..Pošiljanje sporoèil v spletne klepetalnice;-;-;-;-;-;-
2013;..Pošiljanje sporoèil v novièarske skupine;-;-;-;-;-;-
2013;..Pošiljanje sporoèil v spletne forume;-;-;-;-;-;-
2013;..Branje spletnih forumov;-;-;-;-;-;-
2013;..Neposredno sporoèanje;-;-;-;-;-;-
2013;..Branje blogov;-;-;-;-;-;-
2013;..Pošiljanje komentarjev na druge bloge;-;-;-;-;-;-
2013;..Ustvarjanje in urejanje lastnega bloga;-;-;-;-;-;-
2013;..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;-;-;-;-;-;-
2013;...Uporaba spletnih strani e-uprave za pridobivanje informacij;-;-;-;-;-;-
2013;…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;-;-;-;-;-;-
2013;…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;-;-;-;-;-;-
2014;Posamezniki;189357;288715;300949;306781;288598;187351
2014;Uporaba interneta v zadnjih 3 mesecih [redni uporabniki];184002;270676;269742;214616;128800;50163
2014;..Pošiljanje ali prejemanje e-pošte;181332;254935;231453;164420;102477;39324
2014;..E-banèništvo;48192;168083;140247;77714;55043;14865
2014;..Iskanje informacij o blagu, storitvah;164597;250050;238194;176194;99222;41319
2014;…Uporaba pridobljenih informacij prek interneta o blagu, storitvah za nakup blaga, storitev;-;-;-;-;-;-
2014;…Uporaba pridobljenih informacij o blagu, storitvah za nakup preko interneta;-;-;-;-;-;-
2014;..Uporaba storitev, povezanih s potovanji in nastanitvijo;54123;121163;111593;86364;42924;21101
2014;..Branje spletni novic, spletnih èasopisov, spletnih revij;160951;231708;215069;171022;97235;36695
2014;...Naroèilo na spletne èasopisove, revije;-;-;-;-;-;-
2014;..Iskanje službe, pošiljanje prošenj za službo;-;-;-;-;-;-
2014;..Iskanje informacij, povezanih z zdravjem;-;-;-;-;-;-
2014;..E-naroèanje obiska pri zdravniku;10337;21513;24570;22373;14522;7715
2014;..Sodelovanje v spletnih družabnih omrežjih;171427;199356;152500;72020;45960;11814
2014;..Sodelovanje v profesionalnih spletnih omrežjih;-;-;-;-;-;-
2014;..Ustvarjanje ali urejanje lastnega profila v spletnih družabnih omrežjih;-;-;-;-;-;-
2014;..Telefoniranje ali video telefoniranje s spletno kamero prek interneta;91890;126270;105395;70691;49483;16276
2014;...Telefoniranje prek interneta;-;-;-;-;-;-
2014;…Video telefoniranje s spletno kamero prek interneta;-;-;-;-;-;-
2014;..Telefoniranje prek interneta, videokonferenca;-;-;-;-;-;-
2014;..Branje in objavljanje mnenj o politiènih temah;-;-;-;-;-;-
2014;..Sodelovanje v spletnih razpravah [tudi glasovanje] o politiènih temah;-;-;-;-;-;-
2014;..Uporaba prostora za hrambo podatkov na internetu za shranjevanje datotek;91718;79590;60657;26137;21070;3729
2014;..Prodaja blaga, storitev;81312;137222;117397;67216;32349;14646
2014;..Prenašanje programske opreme;-;-;-;-;-;-
2014;..Nalaganje lastnih vsebin na spletne strani;109177;129049;101817;41771;32230;8456
2014;..Pridobivanje znanja s pomoèjo spletnih enciklopedij;-;-;-;-;-;-
2014;…Objavljanje lastnih prispevkov v spletnih enciklopedijah;-;-;-;-;-;-
2014;..Nalaganje vsebin na spletno stran;-;-;-;-;-;-
2014;..Pridobivanje informacij o izobraževanju;-;-;-;-;-;-
2014;..Opravljanje teèaja prek interneta;-;-;-;-;-;-
2014;..Pridobivanje novih znanj, informacij;-;-;-;-;-;-
2014;..Uporaba interneta za izobraževanje in teèaje;-;-;-;-;-;-
2014;..Udeležba kakršnega koli teèaja;-;-;-;-;-;-
2014;…Izvajanje raziskovanj prek interneta v sklopu teèaja;-;-;-;-;-;-
2014;…Izmenjava sporoèil prek interneta v povezavi s teèajem;-;-;-;-;-;-
2014;…Prenos uènega gradiva za teèaj prek interneta;-;-;-;-;-;-
2014;…Preverjanje dosegljivost knjig ali èlankov prek interneta za teèaj;-;-;-;-;-;-
2014;..Poslušanje spletnih radijskih postaj ali gledanje spletne TV;-;-;-;-;-;-
2014;..Poslušanje spletnih radijskih postaj;104385;128167;122539;67612;30516;14657
2014;..Gledanje spletne TV;-;-;-;-;-;-
2014;..Iskanje drugih informacij;-;-;-;-;-;-
2014;..Igranje ali prenašanje raèunalniških iger, fotografij, filmov, glasbe;139200;143651;133978;62333;31724;14452
2014;…Igranje spletnih iger z drugimi osebami;46935;28577;19972;11488;4029;-
2014;..Izdelava spletnih strani ali blogov;22228;28402;22200;6274;3083;2849
2014;..Uporaba e-pošte za delitev datotek;167689;212660;183160;124601;76836;27621
2014;..Uporaba osebnih spletnih strani, blogov, spletnih družabnih omrežij za delitev datotek;150688;137898;108808;37368;29339;5306
2014;..Uporaba prostora za hrambo podatkov na internetu za delitev datotek;72491;64629;48334;20597;15484;1975
2014;..Uporaba zunanjih naprav za delitev datotek;147293;174827;168354;106487;56001;19482
2014;..Pošiljanje sporoèil v spletne klepetalnice, novièarske skupine, forume;-;-;-;-;-;-
2014;..Pošiljanje sporoèil v spletne klepetalnice;-;-;-;-;-;-
2014;..Pošiljanje sporoèil v novièarske skupine;-;-;-;-;-;-
2014;..Pošiljanje sporoèil v spletne forume;-;-;-;-;-;-
2014;..Branje spletnih forumov;-;-;-;-;-;-
2014;..Neposredno sporoèanje;-;-;-;-;-;-
2014;..Branje blogov;-;-;-;-;-;-
2014;..Pošiljanje komentarjev na druge bloge;-;-;-;-;-;-
2014;..Ustvarjanje in urejanje lastnega bloga;-;-;-;-;-;-
2014;..Uporaba spletnih strani e-uprave v zadnjih 3 mesecih;-;-;-;-;-;-
2014;...Uporaba spletnih strani e-uprave za pridobivanje informacij;-;-;-;-;-;-
2014;…Uporaba spletnih strani e-uprave za pridobivanje obrazcev;-;-;-;-;-;-
2014;…Uporaba spletnih strani e-uprave za vraèanje izpolnjenih obrazcev;-;-;-;-;-;-
